postcode,tree_id
10001,1
10002,78
10003,9
10007,6
10009,36
10010,4
10011,10
10012,18
10013,23
10014,39
10016,22
10017,7
10019,13
10021,54
10022,18
10023,4
10024,16
10025,29
10026,15
10027,44
10028,51
10029,13
10030,19
10031,32
10032,15
10033,16
10034,11
10035,27
10036,3
10037,34
10038,8
10039,2
10040,17
10065,68
10075,34
10128,73
10301,325
10302,187
10303,325
10304,441
10305,520
10306,642
10307,219
10308,184
10309,481
10310,278
10312,784
10314,729
10451,77
10452,101
10453,122
10454,94
10455,74
10456,183
10457,129
10458,84
10459,98
10460,137
10461,315
10462,167
10463,160
10464,111
10465,269
10466,308
10467,243
10468,48
10469,461
10470,91
10471,67
10472,134
10473,364
10474,181
10475,74
11001,21
11004,25
11005,1
11040,9
11096,6
11101,99
11102,132
11103,143
11104,20
11105,196
11106,90
11201,77
11203,190
11204,87
11205,27
11206,44
11207,546
11208,917
11209,190
11210,232
11211,100
11212,67
11213,34
11214,152
11215,112
11216,59
11217,48
11218,102
11219,145
11220,74
11221,97
11222,102
11223,160
11224,33
11225,24
11226,58
11228,197
11229,247
11230,102
11231,134
11232,74
11233,110
11234,486
11235,133
11236,306
11237,113
11238,68
11239,24
11249,38
11354,296
11355,298
11356,286
11357,796
11358,424
11360,113
11361,337
11362,236
11363,293
11364,220
11365,225
11366,103
11367,124
11368,300
11369,169
11370,79
11371,4
11372,37
11373,146
11374,79
11375,346
11377,227
11378,206
11379,222
11385,356
11411,203
11412,475
11413,610
11414,400
11415,42
11416,85
11417,109
11418,219
11419,155
11420,203
11421,129
11422,313
11423,229
11426,161
11427,142
11428,182
11429,308
11432,491
11433,230
11434,698
11435,204
11436,133
11691,609
11692,173
11693,58
11694,269
