address,latitude,longitude
1 REWE STREET,40.71594248,-73.93401317
126-011 15 AVENUE,40.78529496,-73.84152089
23-022 28 STREET,40.77510436,-73.91516208
650 BARLOW AVENUE,40.55674758,-74.17015261
2107 TIEBOUT AVENUE,40.85308202,-73.89880348
21-081 24 STREET,40.7794947,-73.91491627
49-012 DITMARS BOULEVARD,40.76845991,-73.89996697
503 EAST 182 STREET,40.85347917,-73.89362245
389 AVENUE X,40.59065982,-73.96849796
18-019 21 DRIVE,40.78268102,-73.91846894
67-040 KESSEL STREET,40.71591631,-73.85645713
145-002 224 STREET,40.66329603,-73.7549244
4515 12 AVENUE,40.63838768,-73.99208619
15 EAST 164 STREET,40.83064272,-73.92443894
493 FLETCHER PLACE,40.85406715,-73.89359714
305 PARK AVENUE,40.69597638,-73.96595898
237 PENNSYLVANIA AVENUE,40.67170504,-73.89569959
116-006 14 AVENUE,40.78574908,-73.85105942
208 SCHENCK AVENUE,40.67600793,-73.88935488
2517 MARION AVENUE,40.86154543,-73.89314414
223 RARITAN AVENUE,40.5911078,-74.0921355
169-018 33 AVENUE,40.76732299,-73.79562487
22-028 31 STREET,40.77558654,-73.91150231
301 EAST 64 STREET,40.76363173,-73.96169145
69 LOCUST AVENUE,40.57675955,-74.11568158
1225 DITMAS AVENUE,40.63622788,-73.965602
953 EAST 57 STREET,40.62929737,-73.92112357
2338 61 STREET,40.61415258,-73.97590549
48-056 44 STREET,40.73785301,-73.92171795
17 ALBERTA AVENUE,40.59040144,-74.19182256
98-020 164 AVENUE,40.65140463,-73.83222344
23-051 19 STREET,40.77831425,-73.921468
84-010 124 STREET,40.70479655,-73.82813391
265 90 STREET,40.62088938,-74.03287691
146-020 226 STREET,40.65930613,-73.75539708
146-020 226 STREET,40.65934901,-73.75536944
524 SEAVIEW AVENUE,40.58301814,-74.08513742
33-048 170 STREET,40.76600191,-73.79572795
311 EAST 188 STREET,40.86067252,-73.89478581
1140 EAST 19 STREET,40.62265414,-73.9571118
211 EAST 180 STREET,40.8533234,-73.90205488
85 BISHOP STREET,40.57244166,-74.12461162
68-060 DARTMOUTH STREET,40.71923251,-73.85075472
36-033 194 STREET,40.76297655,-73.78824896
30-084 23 STREET,40.76724527,-73.9281843
2336 BELMONT AVENUE,40.85378242,-73.88650579
30 BOWERY,40.71526804,-73.99648919
23-053 28 STREET,40.77433185,-73.91593521
23-064 28 STREET,40.77424011,-73.91621936
33 DIVISION STREET,40.7142441,-73.99595024
150-024 24 AVENUE,40.77705004,-73.81365094
146-026 226 STREET,40.65907996,-73.75554291
146-012 226 STREET,40.65950423,-73.75526936
331 BEACH 68 STREET,40.59210393,-73.79717552
49-003 21 AVENUE,40.77050863,-73.89778249
116 RICHMOND STREET,40.68465626,-73.87724453
35 PAERDEGAT 4 STREET,40.6316351,-73.91018617
225-019 145 ROAD,40.66183018,-73.75376906
57 ROSWELL AVENUE,40.59024275,-74.19004414
23-003 28 STREET,40.77539064,-73.91464572
2141 WASHINGTON AVENUE,40.85267826,-73.89496396
86-002 135 STREET,40.70572013,-73.82062334
2029 RYER AVENUE,40.85119623,-73.90141792
105-001 62 DRIVE,40.73513656,-73.85326509
2341 LORILLARD PLACE,40.85628256,-73.88943408
3 HAMPTON PLACE,40.67266034,-73.94073177
57-031 PARSONS BOULEVARD,40.74126332,-73.81009925
80 BOGOTA STREET,40.58596246,-74.14790008
174 COLFAX AVENUE,40.57888477,-74.1059754
1832 BURNETT STREET,40.60856561,-73.94019399
